,Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
0,"Radhakrishnan, M., Misra, A., Balan, R.K., Lee, Y.",57125745500;7402453752;35576393800;55814312300;,Smartphones and BLE services: Empirical insights,2015,"Proceedings - 2015 IEEE 12th International Conference on Mobile Ad Hoc and Sensor Systems, MASS 2015",,,7366936,226,234,,15,10.1109/mass.2015.92,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964632172&doi=10.1109%2fMASS.2015.92&partnerID=40&md5=a9d631757d1569c3b09f3ff75eb02714,Conference Paper,Final,,Scopus,2-s2.0-84964632172
1,"Jayarajah, K., Yao, S., Mutharaju, R., Misra, A., Mel, G.D., Skipper, J., Abdelzaher, T., Kolodny, M.",55814383800;56937565400;35208930400;7402453752;57188991758;57188993460;7004058432;6601964633;,Social signal processing for real-time situational understanding: A vision and approach,2015,"Proceedings - 2015 IEEE 12th International Conference on Mobile Ad Hoc and Sensor Systems, MASS 2015",,,7367005,627,632,,4,10.1109/mass.2015.89,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964637812&doi=10.1109%2fMASS.2015.89&partnerID=40&md5=142e9728a2e57ca363f3503aa3242ea3,Conference Paper,Final,,Scopus,2-s2.0-84964637812
2,"Thung, F., Lucia, Lo, D., Jiang, L., Rahman, F., Devanbu, P.T.",53265147700;36704909900;35269388000;55473381400;36133601100;35583833100;,To what extent could we detect field defects? An extended empirical study of false negatives in static bug-finding tools,2015,Automated Software Engineering,22,4,,561,602,,3,10.1007/s10515-014-0169-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942365985&doi=10.1007%2fs10515-014-0169-8&partnerID=40&md5=b896739100197d4d3bd50d5cf6d9f0ae,Article,Final,,Scopus,2-s2.0-84942365985
3,"Liming, B., Gavino, A.I., Lee, P., Jungyoon, K., Na, L., Pink Pi, T.H., Xian, T.H., Buay, T.L., Xiaoping, T., Valera, A., Jia, E.Y., Wu, A., Fox, M.S.",57189378464;56312548200;57189377267;57189380802;57189375843;57189389777;57189377124;57189376180;57189385801;8087790000;57189376181;56040068600;7401718770;,SHINESeniors: Personalized services for active ageing-in-place,2015,"2015 IEEE 1st International Smart Cities Conference, ISC2 2015",,,7366181,,,,3,10.1109/isc2.2015.7366181,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969931942&doi=10.1109%2fISC2.2015.7366181&partnerID=40&md5=5cfa046fb0fd2a9a58ab1073c8cd98e4,Conference Paper,Final,,Scopus,2-s2.0-84969931942
4,"Alsheikh, M.A., Lin, S., Tan, H.-P., Niyato, D.",56405463000;23467394800;15060871000;8919714700;,Toward a robust sparse data representation for wireless sensor networks,2015,"Proceedings - Conference on Local Computer Networks, LCN",26-29-October-2015,,7366290,117,124,,5,10.1109/lcn.2015.7366290,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84973926638&doi=10.1109%2fLCN.2015.7366290&partnerID=40&md5=0670ae13c22aca1df2bd1db04a8a706d,Conference Paper,Final,,Scopus,2-s2.0-84973926638
5,"Prithivirajan, M., Lai, V., Shim, K.J., Shung, K.P.",57188837613;57188835880;36882579400;55933021800;,Analysis of star ratings in consumer reviews: A case study of Yelp,2015,"Proceedings - 2015 IEEE International Conference on Big Data, IEEE Big Data 2015",,,7364134,2954,2956,,2,10.1109/bigdata.2015.7364134,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963722662&doi=10.1109%2fBigData.2015.7364134&partnerID=40&md5=da2682000ffea94cb2b3f93385f58c64,Conference Paper,Final,,Scopus,2-s2.0-84963722662
6,"Xie, W., Zhu, F., Liu, S., Wang, K.",55480332000;14833666800;35339658000;57189968480;,Modelling cascades over time in microblogs,2015,"Proceedings - 2015 IEEE International Conference on Big Data, IEEE Big Data 2015",,,7363812,677,686,,,10.1109/bigdata.2015.7363812,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963729708&doi=10.1109%2fBigData.2015.7363812&partnerID=40&md5=242234fe0981bd37ee229e0f8d7e2f3e,Conference Paper,Final,,Scopus,2-s2.0-84963729708
7,"Bernile, G., Korniotis, G., Kumar, A., Wang, Q.",19638410300;24923156200;55716707600;55553732736;,Local Business Cycles and Local Liquidity,2015,Journal of Financial and Quantitative Analysis,50,5,,987,1010,,2,10.1017/s0022109015000447,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949562837&doi=10.1017%2fS0022109015000447&partnerID=40&md5=e6b1fddd1043afcbf1dcb2c747158645,Article,Final,,Scopus,2-s2.0-84949562837
8,"Cai, Y., Tay, K., Winarta, B., Kam, T.S.",57188761023;57188757929;57188755553;50861312000;,Visualizing movement in theme park,2015,"2015 IEEE Conference on Visual Analytics Science and Technology, VAST 2015 - Proceedings",,,7347653,147,148,,2,10.1109/vast.2015.7347653,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962882999&doi=10.1109%2fVAST.2015.7347653&partnerID=40&md5=6e73d835fb59cdd0f1fb66fdae3c7084,Conference Paper,Final,,Scopus,2-s2.0-84962882999
9,"Ducrot, J., Shankararaman, V.",56200027400;6603353408;,Targeted blended learning through competency assessment in an undergraduate information systems program,2015,"Proceedings - Frontiers in Education Conference, FIE",2015,,7344066,,,,2,10.1109/fie.2015.7344066,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960422073&doi=10.1109%2fFIE.2015.7344066&partnerID=40&md5=6b578d3b4933085e45ef69d2361da8dc,Conference Paper,Final,,Scopus,2-s2.0-84960422073
